"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Maiara & Maraisa - A Pessoa Errada","2014-02-07","WyyZ9ZaZcdA","list(id = ""WyyZ9ZaZcdA"", viewCount = ""250944"", likeCount = ""1857"", dislikeCount = ""37"", favoriteCount = ""0"", commentCount = ""46"")","250944","1857","37","Maiara e Maraisa"
"Maiara & Maraisa - Você Se Transformou","2014-12-16","e8gVC14HAZc","list(id = ""e8gVC14HAZc"", viewCount = ""289411"", likeCount = ""2365"", dislikeCount = ""41"", favoriteCount = ""0"", commentCount = ""80"")","289411","2365","41","Maiara e Maraisa"
"Maiara & Maraisa - Se Olha No Espelho (part. Cristiano Araújo) [Ao Vivo em Goiânia]","2015-07-03","xtP_rv0n198","list(id = ""xtP_rv0n198"", viewCount = ""118111905"", likeCount = ""434720"", dislikeCount = ""14444"", favoriteCount = ""0"", commentCount = ""18435"")","118111905","434720","14444","Maiara e Maraisa"
"Maiara e Maraisa - Te Procurava De Novo - (Ao Vivo em Goiânia)","2015-10-06","ZVWZtuKKm24","list(id = ""ZVWZtuKKm24"", viewCount = ""35552556"", likeCount = ""74804"", dislikeCount = ""2061"", favoriteCount = ""0"", commentCount = ""1663"")","35552556","74804","2061","Maiara e Maraisa"
"Maiara & Maraisa - Medo Bobo (Ao Vivo em Goiânia)","2015-08-16","Jzl_nrTkfIM","list(id = ""Jzl_nrTkfIM"", viewCount = ""327728102"", likeCount = ""1059854"", dislikeCount = ""53521"", favoriteCount = ""0"", commentCount = ""49589"")","327728102","1059854","53521","Maiara e Maraisa"
"Maiara e Maraisa - Quase Um Casal (Ao Vivo em Goiânia)","2015-09-24","edDIoPdiAAg","list(id = ""edDIoPdiAAg"", viewCount = ""52116365"", likeCount = ""107957"", dislikeCount = ""3918"", favoriteCount = ""0"", commentCount = ""2469"")","52116365","107957","3918","Maiara e Maraisa"
"Maiara e Maraisa - Mexidinho (Ao Vivo em Goiânia)","2015-09-28","2tHUqEdQTqA","list(id = ""2tHUqEdQTqA"", viewCount = ""41480124"", likeCount = ""89669"", dislikeCount = ""3640"", favoriteCount = ""0"", commentCount = ""2760"")","41480124","89669","3640","Maiara e Maraisa"
"Maiara e Maraisa - Dois idiotas - Part. Bruno e Marrone (Ao Vivo em Goiânia)","2015-09-22","FU-RT_ENu88","list(id = ""FU-RT_ENu88"", viewCount = ""49953951"", likeCount = ""99080"", dislikeCount = ""3597"", favoriteCount = ""0"", commentCount = ""2560"")","49953951","99080","3597","Maiara e Maraisa"
"Maiara e Maraisa - Encontro Com O Passado (Ao Vivo em Goiânia)","2015-10-01","mI2AORZppuw","list(id = ""mI2AORZppuw"", viewCount = ""37893277"", likeCount = ""65116"", dislikeCount = ""2381"", favoriteCount = ""0"", commentCount = ""1661"")","37893277","65116","2381","Maiara e Maraisa"
"Maiara e Maraisa - No Dia Do Seu Casamento (Ao Vivo em Goiânia)","2015-10-27","Q9q0tDPi6D4","list(id = ""Q9q0tDPi6D4"", viewCount = ""41935375"", likeCount = ""126087"", dislikeCount = ""4072"", favoriteCount = ""0"", commentCount = ""3488"")","41935375","126087","4072","Maiara e Maraisa"
"Maiara & Maraisa - Fala a Verdade (part. Jorge & Mateus) [Ao Vivo em Goiânia]","2015-06-23","NI2ZwG2KdOI","list(id = ""NI2ZwG2KdOI"", viewCount = ""73752707"", likeCount = ""144770"", dislikeCount = ""5547"", favoriteCount = ""0"", commentCount = ""2450"")","73752707","144770","5547","Maiara e Maraisa"
"Maiara e Maraisa - Motel part. Marília Mendonça (Ao Vivo em Goiânia)","2015-10-02","LNBilHFezTQ","list(id = ""LNBilHFezTQ"", viewCount = ""74230319"", likeCount = ""235277"", dislikeCount = ""7711"", favoriteCount = ""0"", commentCount = ""7483"")","74230319","235277","7711","Maiara e Maraisa"
"Maiara e Maraisa - Sem Tirar A Roupa (Ao Vivo em Goiânia)","2015-10-26","yZVqk1eJMrk","list(id = ""yZVqk1eJMrk"", viewCount = ""28996474"", likeCount = ""52836"", dislikeCount = ""1985"", favoriteCount = ""0"", commentCount = ""1383"")","28996474","52836","1985","Maiara e Maraisa"
"Maiara e Maraisa - Você Se Transformou (Ao Vivo em Goiânia)","2015-10-20","xkvrATfJZfY","list(id = ""xkvrATfJZfY"", viewCount = ""31688961"", likeCount = ""49039"", dislikeCount = ""1953"", favoriteCount = ""0"", commentCount = ""1382"")","31688961","49039","1953","Maiara e Maraisa"
"Maiara e Maraisa - Show Completo (Ao Vivo em Goiânia)","2015-10-15","NGkmSj4_RJQ","list(id = ""NGkmSj4_RJQ"", viewCount = ""18707798"", likeCount = ""48900"", dislikeCount = ""2015"", favoriteCount = ""0"", commentCount = ""1192"")","18707798","48900","2015","Maiara e Maraisa"
"Maiara & Maraisa - 10% (Ao Vivo em Goiânia)","2015-07-16","JybMBMTHWP8","list(id = ""JybMBMTHWP8"", viewCount = ""341363966"", likeCount = ""821482"", dislikeCount = ""51436"", favoriteCount = ""0"", commentCount = ""31582"")","341363966","821482","51436","Maiara e Maraisa"
"Maiara e Maraisa - Turma do AA (Ao Vivo em Goiânia)","2015-10-13","fNAk5qPoxAM","list(id = ""fNAk5qPoxAM"", viewCount = ""17654445"", likeCount = ""25669"", dislikeCount = ""945"", favoriteCount = ""0"", commentCount = ""569"")","17654445","25669","945","Maiara e Maraisa"
"Maiara & Maraisa - Luz de Velas (Ao Vivo em Goiânia)","2015-07-31","AXWdgyaGYQs","list(id = ""AXWdgyaGYQs"", viewCount = ""11947224"", likeCount = ""39519"", dislikeCount = ""844"", favoriteCount = ""0"", commentCount = ""1019"")","11947224","39519","844","Maiara e Maraisa"
"Maiara e Maraisa - É Rolo (Ao Vivo em Goiânia)","2015-11-03","ETqAigVI4jM","list(id = ""ETqAigVI4jM"", viewCount = ""17629220"", likeCount = ""26899"", dislikeCount = ""1084"", favoriteCount = ""0"", commentCount = ""477"")","17629220","26899","1084","Maiara e Maraisa"
"Maiara e Maraisa - Pessoa Errada [Ao Vivo em Goiânia]","2015-11-16","lPXinWn-azQ","list(id = ""lPXinWn-azQ"", viewCount = ""40429912"", likeCount = ""106894"", dislikeCount = ""4025"", favoriteCount = ""0"", commentCount = ""2433"")","40429912","106894","4025","Maiara e Maraisa"
