"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Wanessa Camargo - Agora Eu Sei (Álbum ''33'') [Áudio Oficial]","2017-03-10","Z6MECFscGLA","list(id = ""Z6MECFscGLA"", viewCount = ""88057"", likeCount = ""1281"", dislikeCount = ""18"", favoriteCount = ""0"", commentCount = ""78"")","88057","1281","18","Wanessa"
"Wanessa Camargo - Se Cuida (Álbum ''33'') [Áudio Oficial]","2017-03-10","3cEaSuccYHA","list(id = ""3cEaSuccYHA"", viewCount = ""78887"", likeCount = ""1091"", dislikeCount = ""24"", favoriteCount = ""0"", commentCount = ""57"")","78887","1091","24","Wanessa"
"Wanessa Camargo - Só Dá Eu e Você (Álbum ''33'') [Áudio Oficial]","2017-03-10","CD3Uqw8iiH0","list(id = ""CD3Uqw8iiH0"", viewCount = ""62591"", likeCount = ""829"", dislikeCount = ""16"", favoriteCount = ""0"", commentCount = ""27"")","62591","829","16","Wanessa"
"Wanessa Camargo - Não Me Sufoca! (Álbum ''33'') [Áudio Oficial]","2017-03-10","4f5QZyX-kkk","list(id = ""4f5QZyX-kkk"", viewCount = ""83480"", likeCount = ""1027"", dislikeCount = ""24"", favoriteCount = ""0"", commentCount = ""43"")","83480","1027","24","Wanessa"
"Wanessa Camargo - Eu Quero Ser a Outra (LA OTRA) (Álbum ''33'') [Áudio Oficial]","2017-03-10","8GHdWdaYFEY","list(id = ""8GHdWdaYFEY"", viewCount = ""76527"", likeCount = ""976"", dislikeCount = ""31"", favoriteCount = ""0"", commentCount = ""120"")","76527","976","31","Wanessa"
"Wanessa Camargo - Amor de Conta-Gotas (Álbum ''33'') [Áudio Oficial]","2017-03-10","mHZc7ePpBcU","list(id = ""mHZc7ePpBcU"", viewCount = ""47338"", likeCount = ""533"", dislikeCount = ""8"", favoriteCount = ""0"", commentCount = ""24"")","47338","533","8","Wanessa"
"Wanessa Camargo - Choveu Amor (Álbum ''33'') [Áudio Oficial]","2017-03-10","yWOSPFttosA","list(id = ""yWOSPFttosA"", viewCount = ""39843"", likeCount = ""595"", dislikeCount = ""14"", favoriteCount = ""0"", commentCount = ""20"")","39843","595","14","Wanessa"
"Wanessa Camargo - Faço Chover (Álbum ''33'') [Áudio Oficial]","2017-03-10","te7OFMx-7S8","list(id = ""te7OFMx-7S8"", viewCount = ""39442"", likeCount = ""464"", dislikeCount = ""6"", favoriteCount = ""0"", commentCount = ""25"")","39442","464","6","Wanessa"
"Wanessa Camargo - Vai Mentir Pra Lá (Álbum ''33'') [Áudio Oficial]","2017-03-10","d5SZfRyTllE","list(id = ""d5SZfRyTllE"", viewCount = ""50562"", likeCount = ""691"", dislikeCount = ""18"", favoriteCount = ""0"", commentCount = ""18"")","50562","691","18","Wanessa"
"Wanessa Camargo - Se Ainda Tem Amor (Álbum ''33'') [Áudio Oficial]","2017-03-10","tTMzyy4xCP4","list(id = ""tTMzyy4xCP4"", viewCount = ""47565"", likeCount = ""596"", dislikeCount = ""8"", favoriteCount = ""0"", commentCount = ""28"")","47565","596","8","Wanessa"
"Wanessa Camargo - Boquinha De Açúcar (Álbum ''33'') [Áudio Oficial]","2017-03-10","ObSi9SylrSc","list(id = ""ObSi9SylrSc"", viewCount = ""17962"", likeCount = ""243"", dislikeCount = ""12"", favoriteCount = ""0"", commentCount = ""16"")","17962","243","12","Wanessa"
"Wanessa Camargo - Lançamento do Álbum 33 em São Paulo","2017-03-29","-9ia0rEe-nY","list(id = ""-9ia0rEe-nY"", viewCount = ""25216"", likeCount = ""912"", dislikeCount = ""18"", favoriteCount = ""0"", commentCount = ""94"")","25216","912","18","Wanessa"
"Wanessa Camargo - Fora De Mim (Álbum ''33'') [Áudio Oficial]","2017-03-10","YjT5oKfdH5s","list(id = ""YjT5oKfdH5s"", viewCount = ""24346"", likeCount = ""386"", dislikeCount = ""9"", favoriteCount = ""0"", commentCount = ""27"")","24346","386","9","Wanessa"
"AO VIVO - Album ""33"" faixa-a-faixa!! 📀🎶❤️","2017-03-11","yBfPb6doJbo","list(id = ""yBfPb6doJbo"", viewCount = ""36358"", likeCount = ""1055"", dislikeCount = ""41"", favoriteCount = ""0"", commentCount = ""80"")","36358","1055","41","Wanessa"
"Inscreva-se no meu canal!","2017-03-09","_X1rJ2K8l_c","list(id = ""_X1rJ2K8l_c"", viewCount = ""20703"", likeCount = ""506"", dislikeCount = ""24"", favoriteCount = ""0"", commentCount = ""46"")","20703","506","24","Wanessa"
