"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Paula Fernandes - Um Ser Amor","2013-10-21","oIMWP2qGE_U","list(id = ""oIMWP2qGE_U"", viewCount = ""7069804"", likeCount = ""34727"", dislikeCount = ""1647"", favoriteCount = ""0"", commentCount = ""1388"")","7069804","34727","1647","Paula Fernandes"
"Paula Fernandes - Nunca Mais Eu E Você","2013-10-22","Mys5KA_ESQM","list(id = ""Mys5KA_ESQM"", viewCount = ""3203098"", likeCount = ""15360"", dislikeCount = ""694"", favoriteCount = ""0"", commentCount = ""622"")","3203098","15360","694","Paula Fernandes"
"Paula Fernandes - Cartas No Porão","2013-10-22","rBGH1aCdP9Y","list(id = ""rBGH1aCdP9Y"", viewCount = ""1566263"", likeCount = ""5208"", dislikeCount = ""189"", favoriteCount = ""0"", commentCount = ""311"")","1566263","5208","189","Paula Fernandes"
"Paula Fernandes - Pra Você","2013-10-21","Nuc1ZiHIiaw","list(id = ""Nuc1ZiHIiaw"", viewCount = ""4810910"", likeCount = ""23967"", dislikeCount = ""1100"", favoriteCount = ""0"", commentCount = ""857"")","4810910","23967","1100","Paula Fernandes"
"Paula Fernandes, Roberta Miranda - A Majestade O Sabiá","2013-10-21","c4ZoEYP_yfQ","list(id = ""c4ZoEYP_yfQ"", viewCount = ""4017589"", likeCount = ""11625"", dislikeCount = ""535"", favoriteCount = ""0"", commentCount = ""513"")","4017589","11625","535","Paula Fernandes"
"Paula Fernandes - Um Ser Amor (Lyric Video)","2013-08-13","8IDfbI8vmuI","list(id = ""8IDfbI8vmuI"", viewCount = ""842425"", likeCount = ""6459"", dislikeCount = ""241"", favoriteCount = ""0"", commentCount = ""445"")","842425","6459","241","Paula Fernandes"
"Paula Fernandes - Mineirinha Ferveu / Nóis Enverga Mais Não Quebra / Debaixo Do Cacho","2013-10-21","taVkPunAhQE","list(id = ""taVkPunAhQE"", viewCount = ""3777162"", likeCount = ""14958"", dislikeCount = ""887"", favoriteCount = ""0"", commentCount = ""613"")","3777162","14958","887","Paula Fernandes"
"Paula Fernandes - Se O Coração Viajar","2013-10-21","MCA3Ol8MCzg","list(id = ""MCA3Ol8MCzg"", viewCount = ""1754923"", likeCount = ""6210"", dislikeCount = ""236"", favoriteCount = ""0"", commentCount = ""202"")","1754923","6210","236","Paula Fernandes"
"Paula Fernandes - Se Liga","2013-10-22","njex8p9tw5Y","list(id = ""njex8p9tw5Y"", viewCount = ""1984077"", likeCount = ""6401"", dislikeCount = ""283"", favoriteCount = ""0"", commentCount = ""296"")","1984077","6401","283","Paula Fernandes"
"Paula Fernandes - Não Precisa","2013-10-22","asd2aDuDyBo","list(id = ""asd2aDuDyBo"", viewCount = ""2358850"", likeCount = ""10495"", dislikeCount = ""443"", favoriteCount = ""0"", commentCount = ""438"")","2358850","10495","443","Paula Fernandes"
